,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
122,Distrito Federal,OOS,Colombia & GT,Colombia & GT,0.11254801526896484,True,1
123,Distrito Federal,InSample,Colombia & GT,Colombia & GT,0.8288195844520213,True,1
124,Falcon,OOS,Colombia Border & GT,Colombia & GT,0.2696849495104867,False,1
125,Falcon,InSample,Colombia Border & GT,Colombia & GT,0.5713518233026456,False,1
126,Guarico,OOS,Colombia & GT,Colombia & GT,-0.459716482922206,True,1
127,Guarico,InSample,Colombia & GT,Colombia & GT,0.7313367161129348,True,1
128,Lara,OOS,Colombia Border & GT,Colombia & GT,0.16471375528630305,False,1
129,Lara,InSample,Colombia Border & GT,Colombia & GT,0.7321492541361094,False,1
130,Merida,OOS,Colombia & GT by State,Colombia & GT,0.3730760339660916,False,1
131,Merida,InSample,Colombia & GT by State,Colombia & GT,0.7885290605899673,False,1
132,Miranda,OOS,Colombia & GT,Colombia & GT,0.2826103551411189,True,1
133,Miranda,InSample,Colombia & GT,Colombia & GT,0.8704712970495776,True,1
134,Monagas,OOS,Colombia & GT,Colombia & GT,-0.3625194479761156,True,1
135,Monagas,InSample,Colombia & GT,Colombia & GT,0.6544214759916664,True,1
136,Multiobjective,OOS,Colombia & GT,Colombia & GT,-0.21330251490447127,True,1
137,Multiobjective,InSample,Colombia & GT,Colombia & GT,0.6637568059157379,True,1
138,Nueva Esparta,OOS,Colombia & GT,Colombia & GT,0.18000505626850427,True,1
139,Nueva Esparta,InSample,Colombia & GT,Colombia & GT,0.7430787217463479,True,1
140,Portuguesa,OOS,Colombia Border & GT,Colombia & GT,-0.19189256585498995,False,1
141,Portuguesa,InSample,Colombia Border & GT,Colombia & GT,0.4875246681599792,False,1
142,Sucre,OOS,Colombia & GT,Colombia & GT,-0.3853201754884774,True,1
143,Sucre,InSample,Colombia & GT,Colombia & GT,0.6917068020405692,True,1
144,Tachira,OOS,Colombia & GT by State,Colombia & GT,0.35786675617646835,False,1
145,Tachira,InSample,Colombia & GT by State,Colombia & GT,0.8265997920249183,False,1
146,Total,OOS,Colombia & GT,Colombia & GT,0.0904702182713386,True,1
147,Total,InSample,Colombia & GT,Colombia & GT,0.8743797934905936,True,1
148,Trujillo,OOS,Colombia & GT,Colombia & GT,-0.1411795341847606,True,1
149,Trujillo,InSample,Colombia & GT,Colombia & GT,0.6536582981319343,True,1
150,Vargas,OOS,Colombia & GT,Colombia & GT,-0.09131029942962664,True,1
151,Vargas,InSample,Colombia & GT,Colombia & GT,0.6786171021664531,True,1
152,Yaracuy,OOS,Colombia & GT,Colombia & GT,0.1821454069966294,True,1
153,Yaracuy,InSample,Colombia & GT,Colombia & GT,0.7403182058916915,True,1
154,Zulia,OOS,Colombia & GT,Colombia & GT,-0.8302098288461759,True,1
155,Zulia,InSample,Colombia & GT,Colombia & GT,0.6764552067355047,True,1
156,Amazonas,OOS,Colombia & GT by State,Colombia & GT by State,0.3126394522914786,True,1
157,Amazonas,InSample,Colombia & GT by State,Colombia & GT by State,0.5520056573020689,True,1
158,Anzoategui,OOS,Colombia & GT,Colombia & GT by State,-0.264443052790478,False,1
159,Anzoategui,InSample,Colombia & GT,Colombia & GT by State,0.6402287284558079,False,1
160,Apure,OOS,Colombia & GT,Colombia & GT by State,0.3488485527255721,False,1
161,Apure,InSample,Colombia & GT,Colombia & GT by State,0.6090982468269764,False,1
162,Aragua,OOS,Colombia & GT by State,Colombia & GT by State,-0.061869186179664075,True,1
163,Aragua,InSample,Colombia & GT by State,Colombia & GT by State,0.6931689443842995,True,1
164,Barinas,OOS,Colombia Border & GT,Colombia & GT by State,0.3930595226197509,False,1
165,Barinas,InSample,Colombia Border & GT,Colombia & GT by State,0.5521331845574627,False,1
166,Bolivar,OOS,Colombia Border & GT,Colombia & GT by State,0.03089129959778525,False,1
167,Bolivar,InSample,Colombia Border & GT,Colombia & GT by State,0.25982742448596496,False,1
168,Carabobo,OOS,Colombia & GT,Colombia & GT by State,0.11021269569660096,False,1
169,Carabobo,InSample,Colombia & GT,Colombia & GT by State,0.6706338205760713,False,1
170,Cojedes,OOS,Colombia & GT,Colombia & GT by State,0.315029721128815,False,1
171,Cojedes,InSample,Colombia & GT,Colombia & GT by State,0.5483231532805406,False,1
172,Delta Amacuro,OOS,Colombia & GT,Colombia & GT by State,0.1825496664569856,False,1
173,Delta Amacuro,InSample,Colombia & GT,Colombia & GT by State,0.5119156947481124,False,1
174,Distrito Federal,OOS,Colombia & GT,Colombia & GT by State,0.1829501428390783,False,1
175,Distrito Federal,InSample,Colombia & GT,Colombia & GT by State,0.8187297936287026,False,1
176,Falcon,OOS,Colombia Border & GT,Colombia & GT by State,0.013503818316083716,False,1
177,Falcon,InSample,Colombia Border & GT,Colombia & GT by State,0.5811128511130554,False,1
178,Guarico,OOS,Colombia & GT,Colombia & GT by State,0.3511352588716279,False,1
179,Guarico,InSample,Colombia & GT,Colombia & GT by State,0.6288165896048606,False,1
180,Lara,OOS,Colombia Border & GT,Colombia & GT by State,0.1387389937435748,False,1
181,Lara,InSample,Colombia Border & GT,Colombia & GT by State,0.7052499461206425,False,1
182,Merida,OOS,Colombia & GT by State,Colombia & GT by State,-0.024776907906070456,True,1
183,Merida,InSample,Colombia & GT by State,Colombia & GT by State,0.8054948617332496,True,1
184,Miranda,OOS,Colombia & GT,Colombia & GT by State,0.6140040432484564,False,1
185,Miranda,InSample,Colombia & GT,Colombia & GT by State,0.8319865476285279,False,1
186,Monagas,OOS,Colombia & GT,Colombia & GT by State,0.07593046976699958,False,1
187,Monagas,InSample,Colombia & GT,Colombia & GT by State,0.5493590368981218,False,1
188,Multiobjective,OOS,Colombia & GT,Colombia & GT by State,0.09223875437940007,False,1
189,Multiobjective,InSample,Colombia & GT,Colombia & GT by State,0.621865919024856,False,1
190,Nueva Esparta,OOS,Colombia & GT,Colombia & GT by State,0.15221914727322786,False,1
191,Nueva Esparta,InSample,Colombia & GT,Colombia & GT by State,0.5729920255260514,False,1
192,Portuguesa,OOS,Colombia Border & GT,Colombia & GT by State,0.2491297456755053,False,1
